region,age,marital,address,income,ed,retire,gender,reside,custcat
2,35,1,9,64,4,0,0,2,1
3,23,1,7,136,,0,0,6,4
3,52,1,24,116,1,0,1,2,3
2,34,0,12,33,2,0,1,1,1
2,30,1,9,30,1,0,0,4,3
2,39,0,17,78,2,0,1,1,3
3,,1,2,19,2,0,1,5,2
2,35,0,5,76,2,0,0,3,4
3,59,1,7,166,?,0,0,5,3
1,41,1,21,72,1,0,0,3,2
2,33,0,10,125,4,0,1,1,1
3,35,0,14,80,2,0,1,1,3
1,38,1,8,37,2,0,1,3,1
2,54,1,30,115,4,0,1,3,4
2,46,0,3,25,1,0,1,2,1
1,38,1,12,75,5,0,0,4,2
3,57,0,38,162,2,0,0,1,3
3,48,0,3,49,2,0,1,3,3
2,24,0,3,20,1,0,0,1,1
1,29,1,3,77,4,0,0,4,4
3,30,0,7,16,3,0,1,1,2
1,,1,17,120,1,0,0,2,1
3,34,0,10,101,5,0,1,2,4
3,48,1,19,67,1,0,0,3,1
3,43,1,18,36,1,0,0,5,3
2,21,0,0,33,2,0,1,3,3
2,40,0,7,37,2,0,1,1,4
3,33,1,11,31,1,0,0,4,3
1,21,1,1,17,2,0,1,3,1
2,33,1,9,19,4,0,1,2,2
1,37,1,6,?,1,0,1,,2
1,53,1,27,155,5,0,0,2,4
1,50,1,26,140,2,0,1,4,3
1,27,1,8,55,5,0,0,3,2
2,23,1,13,163,3,0,0,2,4
3,35,1,11,52,4,0,0,2,2
2,60,0,38,211,4,0,0,1,4
1,57,1,1,186,2,0,0,2,3
1,41,1,0,39,1,0,1,2,3
2,57,0,34,22,2,1,1,1,3
3,41,0,7,30,1,0,0,1,3
2,28,0,0,29,2,0,1,1,3
2,28,1,4,23,2,0,0,5,1
1,36,1,14,,4,0,0,6,4
1,43,1,20,76,4,0,1,4,3
1,41,1,3,74,4,0,0,2,2
1,51,1,27,63,4,0,0,5,2
3,41,1,0,36,4,0,0,2,4
3,34,1,9,33,2,0,1,4,1
1,36,0,14,29,2,0,1,1,3
2,34,1,4,27,2,0,0,5,1
1,52,1,28,49,2,0,0,4,2
3,22,0,0,24,4,0,0,1,4
1,26,1,3,26,2,0,0,5,1
1,27,0,6,47,3,0,0,2,1
2,45,1,1,94,2,0,1,5,1
3,34,0,8,21,3,0,1,1,2
1,62,1,36,27,1,0,0,2,1
2,52,0,27,30,2,0,1,1,3
2,40,1,16,127,4,0,1,4,2
2,39,1,15,137,2,0,1,2,3
2,50,1,1,80,2,0,1,4,4
3,55,0,24,30,2,0,0,1,1
2,51,1,11,438,4,0,1,2,4
2,39,0,16,79,2,0,0,1,4
3,47,1,16,63,1,0,0,2,1
3,51,1,22,40,3,0,1,6,3
1,67,1,44,51,1,1,0,2,3
1,27,0,5,37,3,0,0,4,1
3,43,0,19,61,4,0,1,1,1
1,57,1,15,22,2,0,0,2,1
3,39,0,6,44,4,0,1,1,2
1,42,0,4,17,3,0,0,1,1
2,43,0,13,110,5,0,1,3,2
2,48,1,13,91,2,0,0,2,3
1,46,0,3,46,2,0,0,1,1
1,38,1,10,85,3,0,0,2,3
2,71,0,27,10,2,1,0,1,1
1,68,0,28,244,1,0,1,1,3
1,42,0,0,80,4,0,1,1,4
3,34,1,15,83,5,0,1,2,4
2,31,0,2,21,1,0,0,1,1
3,48,1,,24,2,0,0,2,4
2,53,0,2,351,3,0,1,1,3
2,52,1,4,169,4,0,1,4,2
2,27,1,7,46,2,0,0,4,1
1,26,0,6,34,3,0,0,1,2
2,54,1,2,50,4,0,0,2,4
2,35,0,16,161,5,0,1,1,4
1,47,1,17,212,4,0,0,2,3
3,51,1,3,80,5,0,0,3,2
2,42,0,1,30,4,0,1,1,1
3,61,1,3,53,5,0,1,2,2
3,33,0,9,73,5,0,1,1,4
3,20,1,1,17,2,0,1,4,1
2,33,0,9,23,5,0,0,1,4
1,53,1,21,34,1,0,0,2,3
3,36,1,5,107,1,0,1,3,2
2,25,1,5,21,1,0,1,2,3
3,58,0,30,83,2,0,1,1,2
1,20,0,1,17,3,0,0,5,4
3,25,1,4,76,3,0,1,6,3
2,24,0,2,19,1,0,0,1,3
1,32,1,0,49,4,0,1,3,2
2,47,0,21,173,3,0,1,1,2
2,35,0,4,47,3,0,1,1,2
1,61,0,23,41,2,0,0,1,1
3,39,0,8,105,3,0,1,1,4
1,54,0,2,31,4,0,0,1,1
2,40,1,13,41,2,0,0,3,2
3,50,1,30,102,4,0,1,3,2
2,22,1,2,36,4,0,1,5,2
2,37,0,13,24,1,0,1,1,1
2,22,0,1,25,4,0,0,2,2
1,42,0,1,68,2,0,1,1,3
1,34,0,11,20,3,0,1,1,1
3,31,0,4,48,1,0,0,1,3
1,29,1,6,40,2,0,1,5,3
1,55,0,15,79,1,0,0,1,3
3,31,0,1,28,1,0,0,1,1
2,48,0,12,64,2,0,1,1,1
3,41,0,15,37,2,0,0,1,1
3,47,1,7,48,1,0,0,2,1
1,42,1,6,131,5,0,0,3,2
3,29,1,9,18,2,0,0,3,1
2,36,0,10,38,2,0,1,1,2
3,23,0,3,37,2,0,1,3,4
2,31,1,1,60,4,0,0,5,2
3,22,1,2,13,3,0,1,4,2
2,64,1,18,98,1,0,1,2,4
1,52,1,2,195,1,0,0,2,3
2,35,1,0,47,1,0,0,5,1
1,47,1,19,65,2,0,0,3,4
1,50,1,22,150,5,0,1,4,2
2,39,0,6,106,5,0,0,1,3
3,40,0,19,51,4,0,1,1,1
2,38,0,17,96,4,0,1,1,1
2,43,0,4,33,5,0,0,2,3
3,25,1,6,38,2,0,1,3,3
3,32,0,6,125,4,0,0,1,4
1,37,1,13,145,5,0,1,4,4
1,44,1,2,99,2,0,0,3,3
1,34,1,2,22,4,0,1,3,4
2,60,1,21,31,1,1,0,2,2
1,36,0,3,25,1,0,1,1,3
3,25,0,5,57,5,0,1,2,1
2,51,1,21,41,5,0,0,6,4
3,25,1,1,20,3,0,1,2,2
3,43,1,4,101,2,0,1,5,2
1,37,0,8,56,2,0,0,1,2
2,27,1,5,22,2,0,1,3,1
1,37,0,11,108,4,0,1,1,3
3,48,0,14,115,4,0,1,1,4
3,54,0,31,53,4,0,0,1,4
3,53,0,13,242,4,0,0,1,4
1,24,1,2,20,2,0,1,5,3
2,47,0,5,123,4,0,0,1,1
2,35,0,0,34,1,0,0,1,1
1,29,1,8,31,4,0,1,5,2
3,44,0,25,47,1,0,1,2,3
3,37,1,11,48,3,0,1,2,3
2,64,1,22,13,2,1,1,3,3
2,52,1,18,78,1,0,0,2,1
3,26,0,7,34,1,0,1,2,3
1,46,0,17,81,5,0,1,1,2
1,45,1,14,86,2,0,0,2,2
3,27,1,0,26,4,0,0,4,4
3,34,1,5,51,2,0,1,5,1
3,31,0,10,59,3,0,0,1,1
1,53,0,21,112,4,0,0,1,2
2,56,1,14,57,4,0,0,2,4
1,48,1,20,41,1,0,1,2,1
2,46,1,19,168,2,0,1,2,4
2,33,0,4,29,4,0,1,3,1
3,58,0,13,167,2,0,1,2,2
3,24,0,5,29,2,0,0,3,1
1,55,0,28,104,1,0,1,1,3
3,22,1,0,46,4,0,0,2,4
3,26,0,5,46,4,0,1,3,4
1,33,0,8,51,4,0,1,1,1
2,42,1,11,65,2,0,0,2,4
2,33,0,1,48,2,0,0,2,1
3,34,1,1,46,3,0,0,4,2
2,63,1,15,43,2,0,0,2,2
3,53,0,30,110,1,0,0,1,2
3,26,0,2,32,3,0,0,3,1
3,22,1,1,18,3,0,1,2,1
1,39,1,1,26,4,0,0,4,2
3,28,1,9,34,2,0,1,6,3
1,54,1,18,57,4,0,1,3,3
2,54,1,20,21,2,0,1,3,1
3,33,0,7,38,3,0,1,1,4
1,21,0,2,19,3,0,1,1,2
1,39,0,2,40,3,0,0,1,3
3,69,1,11,58,3,0,0,2,4
1,51,1,10,95,2,0,1,2,1
2,43,0,4,114,2,0,0,1,1
2,65,1,27,128,3,0,0,2,3
3,40,0,9,33,4,0,1,1,1
3,66,0,30,460,4,0,1,1,4
1,43,0,12,224,3,0,0,1,1
1,39,0,2,122,4,0,0,3,4
1,24,1,0,23,3,0,1,5,2
2,63,1,19,191,3,0,0,2,2
1,31,1,7,187,4,0,0,3,4
2,37,1,9,119,3,0,0,3,1
1,69,1,49,44,2,1,1,2,3
1,27,1,2,15,3,0,1,2,4
3,64,0,41,674,4,0,1,1,3
3,23,1,4,33,4,0,1,2,3
3,55,0,3,250,2,0,1,2,1
1,33,0,6,64,4,0,0,2,1
3,24,1,2,26,2,0,0,4,1
2,29,0,4,23,3,0,0,2,2
2,42,0,9,52,4,0,0,3,2
2,46,0,27,200,3,0,1,1,1
2,33,1,7,28,1,0,0,2,3
3,25,1,5,19,5,0,0,3,4
2,61,1,39,76,3,0,0,2,4
3,60,0,26,70,2,0,0,1,1
1,30,0,1,34,2,0,1,1,3
3,36,0,7,34,5,0,1,3,4
3,37,0,7,172,3,0,0,1,1
3,53,1,13,48,1,0,0,3,3
2,30,0,9,45,2,0,1,1,1
1,47,0,9,72,3,0,0,5,4
2,43,1,3,55,4,0,1,4,4
2,29,0,7,40,4,0,1,4,1
3,33,0,12,26,3,0,0,1,3
2,51,0,18,96,1,0,0,4,3
1,33,0,9,54,1,0,0,1,3
1,40,1,1,47,2,0,1,3,3
1,47,1,23,142,1,0,0,2,2
2,37,0,5,57,4,0,0,1,1
1,29,0,10,20,3,0,0,2,4
2,57,0,25,37,1,0,0,1,2
2,52,1,17,36,4,0,0,4,4
2,31,1,6,24,4,0,0,2,4
3,19,0,0,21,2,0,1,1,1
3,51,1,15,186,3,0,0,2,4
3,31,0,12,30,1,0,1,3,1
2,66,1,43,96,2,0,1,2,4
3,76,0,39,15,1,1,0,1,3
3,21,1,1,25,1,0,0,4,2
3,39,0,11,49,3,0,1,1,1
3,45,0,4,38,2,0,1,1,3
2,38,0,0,29,2,0,0,2,2
1,26,0,7,55,2,0,1,1,1
3,55,1,21,64,3,0,1,3,1
2,33,1,12,42,4,0,1,5,2
1,40,0,9,134,4,0,0,1,1
2,48,1,22,82,1,0,1,5,4
1,54,1,5,153,5,0,0,2,2
1,66,0,43,144,2,0,1,1,2
3,25,0,4,22,4,0,0,2,4
2,53,1,16,35,1,0,1,4,3
2,57,0,33,82,4,0,1,1,2
3,63,1,9,61,1,0,0,2,1
2,33,0,1,102,2,0,0,1,4
3,27,0,5,31,3,0,0,5,4
1,56,0,23,170,1,0,1,1,4
2,46,0,11,26,2,0,1,1,1
2,40,0,15,85,3,0,1,1,3
3,53,1,16,183,2,0,1,2,2
2,55,1,13,67,1,0,1,2,1
3,45,1,5,42,1,0,1,2,1
1,63,1,1,31,1,0,0,2,3
2,58,1,10,96,2,0,0,4,3
1,24,1,5,24,3,0,0,5,3
2,33,0,4,53,2,0,1,1,1
2,25,0,4,18,1,0,1,1,3
1,51,0,10,43,4,0,0,2,2
1,34,0,10,104,3,0,0,1,4
2,55,0,31,26,1,0,0,1,1
3,62,0,5,56,2,0,1,1,3
2,33,1,9,49,2,0,0,5,2
1,58,0,34,80,1,0,1,1,2
1,46,0,5,318,3,0,1,1,3
2,42,0,21,35,4,0,0,1,3
3,45,0,17,29,1,0,0,1,1
1,28,0,8,43,5,0,0,5,4
2,51,1,5,80,5,0,0,2,4
1,39,1,11,30,3,0,1,3,3
1,70,0,2,9,3,1,1,1,2
1,35,1,0,23,2,0,0,5,3
2,39,1,15,58,4,0,1,2,3
1,37,1,1,52,1,0,1,4,4
1,66,1,44,14,3,1,1,2,3
2,50,0,9,110,2,0,1,1,3
2,43,1,1,60,2,0,0,2,2
3,43,1,1,123,3,0,0,5,4
1,63,1,29,15,5,1,0,2,3
1,27,0,4,47,4,0,1,2,2
1,43,0,14,138,4,0,1,1,3
2,51,1,20,359,3,0,0,2,4
2,52,0,30,214,3,0,0,1,4
2,40,0,7,64,1,0,0,1,3
3,51,0,8,50,4,0,0,1,1
1,32,0,2,88,3,0,0,1,4
2,36,1,8,86,2,0,1,2,2
3,65,1,30,17,1,1,1,2,3
1,41,1,7,25,2,0,0,3,3
1,38,1,19,46,2,0,0,2,2
3,61,0,26,361,1,0,1,1,2
2,21,0,1,18,3,0,1,1,1
1,33,1,3,14,4,0,0,3,4
1,35,1,5,34,3,0,0,2,2
2,64,0,13,9,2,1,1,1,3
3,49,0,18,39,2,0,1,1,4
2,25,1,4,18,3,0,0,4,1
3,26,1,1,25,4,0,0,2,1
1,52,0,15,46,5,0,1,1,2
1,39,1,8,94,4,0,1,4,2
1,44,1,4,26,3,0,0,2,4
2,68,1,1,335,1,0,1,3,4
2,45,0,14,25,3,0,0,1,1
1,45,1,3,99,3,0,1,2,3
2,26,1,3,30,2,0,1,5,1
3,31,1,4,35,2,0,1,3,4
1,27,1,2,51,5,0,1,2,1
3,42,0,20,49,3,0,0,1,4
1,51,1,15,54,1,0,0,3,3
3,30,0,3,46,4,0,0,1,2
1,27,1,3,91,4,0,1,3,4
3,22,0,1,23,4,0,0,2,1
1,54,1,6,345,1,0,0,2,3
3,25,1,2,45,4,0,1,2,1
1,43,0,12,53,2,0,0,1,3
2,26,0,2,14,2,0,1,1,4
3,36,0,13,67,5,0,1,1,1
3,51,0,27,49,3,0,0,1,1
3,47,1,18,37,1,0,1,4,1
3,45,0,18,33,1,0,0,1,1
1,37,0,5,46,3,0,1,4,4
2,60,1,32,93,1,0,0,4,2
1,55,0,2,48,2,0,0,1,1
1,54,1,35,183,2,0,0,3,3
2,23,1,3,16,1,0,0,4,1
2,69,0,0,11,2,1,0,1,1
1,31,1,0,42,4,0,1,3,3
1,41,1,7,67,4,0,1,4,1
3,41,0,20,181,4,0,0,1,4
2,43,0,18,53,4,0,0,1,1
3,52,0,17,172,2,0,0,1,4
2,44,0,24,87,2,0,0,1,3
1,29,1,2,21,5,0,0,2,1
2,65,0,6,9,2,1,1,1,2
2,47,0,22,144,3,0,1,2,3
3,45,1,23,117,4,0,0,3,4
2,32,1,0,59,4,0,1,6,4
3,60,1,39,508,4,0,0,4,4
2,63,1,40,222,2,1,1,2,3
3,66,0,11,87,3,1,1,1,1
3,31,0,4,34,1,0,0,1,3
2,38,1,19,18,4,0,1,4,2
2,55,0,12,65,3,0,0,1,3
3,57,1,19,130,3,0,1,2,2
1,33,0,13,44,3,0,1,1,2
1,52,1,21,63,1,0,0,3,3
3,50,0,28,57,4,0,0,1,3
3,57,1,7,264,1,0,1,2,3
2,24,0,2,28,1,0,0,2,3
3,23,1,2,26,3,0,1,6,4
1,33,0,3,38,4,0,0,1,2
1,35,0,15,59,3,0,1,1,3
3,76,0,38,117,4,0,1,1,1
1,35,1,13,70,4,0,1,2,4
3,59,0,37,104,2,0,0,1,3
3,56,0,17,71,3,0,1,1,1
1,34,1,0,70,3,0,1,3,4
1,38,1,8,56,4,0,0,2,4
3,57,1,18,68,1,0,0,2,3
2,45,0,21,80,2,0,1,1,2
2,26,0,7,21,4,0,0,6,4
2,43,0,4,69,3,0,1,1,1
3,31,1,10,39,2,0,1,2,1
2,38,0,7,90,2,0,0,4,2
1,37,1,12,64,5,0,1,2,2
2,25,0,2,28,2,0,0,1,4
2,28,1,3,24,2,0,1,6,1
3,34,0,2,44,2,0,0,1,1
1,31,0,0,32,4,0,1,2,2
2,33,1,9,52,4,0,1,3,3
1,20,0,1,15,3,0,1,1,2
1,31,0,10,46,3,0,0,2,2
2,57,1,14,107,2,0,1,2,3
2,33,0,7,56,2,0,0,1,1
3,40,1,21,40,4,0,1,4,4
3,38,1,5,56,3,0,0,3,3
3,31,1,5,46,2,0,1,4,2
2,49,1,13,51,2,0,0,2,1
2,60,1,33,12,1,1,0,3,4
1,43,1,6,34,5,0,0,3,4
3,27,0,3,27,2,0,1,5,4
3,36,0,3,42,3,0,1,1,3
2,38,0,8,119,5,0,0,3,4
2,43,0,13,146,1,0,1,1,3
2,46,0,17,51,2,0,1,3,2
1,62,0,33,86,1,1,1,1,3
3,42,1,17,27,3,0,1,2,3
1,43,0,8,38,3,0,0,1,2
1,52,0,26,928,3,0,0,3,3
2,27,1,3,21,2,0,1,3,2
3,60,0,24,24,1,0,1,1,3
3,52,1,30,91,1,0,1,2,1
3,39,1,20,38,2,0,1,4,3
3,32,1,1,96,4,0,1,4,4
3,45,0,12,96,3,0,0,1,2
3,34,0,2,54,3,0,0,1,1
2,59,0,20,1668,4,0,1,1,2
2,29,1,10,53,4,0,1,4,4
3,31,0,1,21,3,0,1,2,1
2,34,0,1,52,5,0,1,1,2
1,69,0,45,17,3,1,1,1,2
2,60,0,40,262,2,0,1,1,3
3,28,0,5,34,5,0,1,1,2
3,44,1,10,107,1,0,1,7,1
1,45,1,25,67,5,0,1,2,3
3,45,0,1,37,4,0,0,1,2
2,20,0,1,21,2,0,1,2,1
3,58,0,7,22,1,0,1,1,2
1,25,1,3,71,3,0,1,5,1
3,35,0,4,77,3,0,1,1,3
2,24,1,1,18,4,0,1,5,4
1,37,1,17,50,2,0,1,2,2
1,46,1,21,33,4,0,0,2,2
1,57,1,21,94,1,0,0,2,4
2,57,1,25,209,1,0,1,4,1
1,32,0,7,31,4,0,0,2,3
1,46,1,18,66,2,0,0,4,2
2,59,0,14,51,1,0,0,2,1
2,42,1,18,118,2,0,0,2,2
2,35,0,10,25,2,0,0,1,1
1,44,1,1,59,3,0,1,3,2
2,20,0,1,20,2,0,1,1,4
3,30,1,0,63,5,0,0,4,4
1,62,0,23,36,4,0,0,1,1
1,56,0,24,72,4,0,1,1,4
2,35,0,11,50,1,0,0,3,3
3,31,0,5,39,2,0,0,2,4
3,64,1,10,54,2,0,1,2,4
3,59,0,4,9,1,1,0,1,3
3,30,1,10,33,4,0,0,3,4
2,30,0,11,28,1,0,0,1,1
3,36,1,14,44,2,0,0,3,3
1,32,0,12,34,4,0,1,2,2
2,51,1,7,68,4,0,1,3,3
1,39,0,5,37,1,0,0,1,1
2,20,1,1,18,3,0,0,3,4
1,35,1,10,55,2,0,0,4,3
1,31,1,12,21,1,0,0,5,3
1,41,1,9,29,3,0,0,4,1
2,56,0,26,9,2,1,0,2,1
3,41,0,16,138,2,0,1,1,2
1,65,0,34,28,4,1,1,1,4
2,54,0,7,62,1,0,0,1,1
1,32,1,13,37,3,0,1,3,4
3,44,0,5,83,1,0,1,1,2
2,63,0,28,168,1,0,1,2,3
2,27,1,4,33,4,0,0,6,4
3,33,1,2,66,3,0,1,4,1
1,30,0,9,18,4,0,0,3,4
3,30,0,0,20,1,0,1,1,3
3,23,1,4,19,3,0,0,4,2
1,39,1,7,25,2,0,0,4,3
1,46,0,27,119,5,0,1,1,4
3,48,1,5,323,4,0,0,4,3
1,30,1,7,45,1,0,1,2,1
1,59,1,27,197,4,0,0,2,2
1,34,1,13,56,3,0,1,3,1
3,51,1,26,24,4,0,0,2,2
1,30,0,4,25,3,0,0,1,3
1,55,1,9,26,5,0,1,2,2
1,32,0,6,33,4,0,0,2,1
1,44,1,4,150,2,0,0,2,4
2,37,1,4,99,2,0,1,3,2
3,40,0,19,50,4,0,1,2,4
2,41,0,3,81,3,0,1,4,3
2,36,0,6,21,1,0,0,2,2
3,68,0,7,273,3,0,1,1,1
1,31,1,9,39,3,0,1,7,1
3,28,1,7,17,2,0,0,4,1
2,45,1,8,115,3,0,1,4,2
1,23,0,3,27,2,0,1,3,1
2,45,0,24,35,1,0,0,1,3
1,23,0,2,20,2,0,0,1,1
2,58,1,3,92,1,0,0,3,1
2,56,0,8,207,2,0,1,1,3
1,55,1,28,40,1,0,0,5,2
1,29,0,4,40,2,0,0,1,3
3,29,0,9,55,4,0,0,1,1
1,62,0,26,26,1,1,1,1,1
3,37,0,2,41,2,0,0,1,1
2,50,1,16,203,4,0,0,2,1
2,64,1,17,380,2,0,1,2,3
2,38,1,8,104,4,0,0,7,4
3,31,1,12,24,3,0,0,4,2
3,42,1,20,81,3,0,1,5,4
